Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:20:24:02.497,61,0.0366426185,0.2773616314,0.0809718370,0.0000000000,0.0000000000,0.0640494153,0.0000000000,0.0360167846,0.2775688469,0.0502034500,0.0000000000,0.0000000000,0.0640884414,0.0000000000,0.0328688510,0.0115929637,0.0000000000,0.0828731954,0.1113033816,0.0791209936,0.1911390275,0.0307401847,0.0000000000,0.1652781814,0.1506773382,0.0000000000,0.0000000000,0.0478083529,0.0478487052,0.1621146947,0.1469375193,0.0940496922,0.0369476005,0.1615888923,0.0867545083,0.0494979098,0.0485247709,0.1661480963,0.1599180549,0.0298902132,0.0287209582,0.0944346115,0.0931629762,0.1334050447,0.0000000000,0.0000000000,0.0286570396,0.0923998803,0.1053336188,0.1489482373,0.1525596082,0.0000002242,0.0000000000,0.0000000000,0.0000000000,-0.0302276257,0.1696354002,-0.0051765991,0.0487540551,0.1696340889,0.0083471015
20:20:24:03.498,61,0.0526525900,0.2805944383,0.0793650672,0.0000000000,0.0000000000,0.0637647957,0.0000000000,0.0520608462,0.2807828784,0.0516875759,0.0000000000,0.0000000000,0.0638049692,0.0000000000,0.0330243744,0.0116368085,0.0000000000,0.0838487670,0.1123411879,0.0805166438,0.2032268196,0.0313758031,0.0000000000,0.1650940925,0.1505094469,0.0000000000,0.0000000000,0.0478305630,0.0478494391,0.1630869210,0.1476960778,0.0952728093,0.0367996842,0.1658767164,0.0882517993,0.0499009788,0.0489451550,0.1618992239,0.1574783027,0.0302809048,0.0290270690,0.0940788984,0.0928724930,0.1354655772,0.0000000000,0.0000000000,0.0290789697,0.0932772383,0.1064501703,0.1522296220,0.1550933719,0.0000001589,0.0000000000,0.0000000000,0.0000000000,-0.0311106872,0.1716043949,-0.0053908387,0.0477703735,0.1716031134,0.0082756327
20:20:24:04.499,61,0.0509348884,0.2804066539,0.0792212933,0.0000000000,0.0000000000,0.0632610843,0.0000000000,0.0501848496,0.2805930376,0.0518206209,0.0000000000,0.0000000000,0.0633015260,0.0000000000,0.0327721126,0.0115568293,0.0000000000,0.0823299363,0.1070127413,0.0774490163,0.2062191367,0.0319678970,0.0000000000,0.1625931114,0.1455481797,0.0000000000,0.0000000000,0.0475078821,0.0474818014,0.1526977718,0.1401830465,0.0953285098,0.0365025029,0.1652285010,0.0886371657,0.0499734990,0.0490213186,0.1503911912,0.1414165348,0.0302607715,0.0289408509,0.0936261192,0.0924423411,0.1354207695,0.0000000000,0.0000000000,0.0294080153,0.0928254053,0.1047383249,0.1501797438,0.1513403654,0.0000002056,0.0000000000,0.0000000000,0.0000000000,-0.0311913937,0.1714887917,-0.0054011052,0.0476847813,0.1714875549,0.0082551436
20:20:24:05.500,61,0.0424561165,0.2789063752,0.0782716721,0.0000000000,0.0000000000,0.0628530011,0.0000000000,0.0415118821,0.2790789306,0.0528174825,0.0000000000,0.0000000000,0.0628933385,0.0000000000,0.0323390886,0.0113714468,0.0000000000,0.0792091787,0.1015593633,0.0733341351,0.1853733957,0.0324791484,0.0000000000,0.1622163951,0.1443349570,0.0000000000,0.0000000000,0.0471820496,0.0471170433,0.1450015903,0.1341959685,0.0946038812,0.0361667871,0.1594940424,0.0885116458,0.0498146042,0.0488532782,0.1444088519,0.1347904205,0.0301492382,0.0287643895,0.0953287557,0.0940105617,0.1317490786,0.0000000000,0.0000000000,0.0294598211,0.0921932459,0.1026173234,0.1449336857,0.1451499462,0.0000008083,0.0000000000,0.0000000000,0.0000000000,-0.0317964889,0.1705667228,-0.0054756585,0.0471206531,0.1705653816,0.0081128301
20:20:24:06.501,61,0.0372137576,0.2774797976,0.0779660046,0.0000000000,0.0000000000,0.0624886528,0.0000000000,0.0363233835,0.2776467800,0.0532565787,0.0000000000,0.0000000000,0.0625289083,0.0000000000,0.0319841541,0.0111981854,0.0000000000,0.0778895319,0.0994755924,0.0717734769,0.1753410101,0.0331225842,0.0000000000,0.1647217125,0.1446329951,0.0000000000,0.0000000000,0.0470069274,0.0469111353,0.1423770338,0.1321316212,0.0942101628,0.0358307585,0.1576898098,0.0883565322,0.0495942421,0.0486201420,0.1420953423,0.1320343167,0.0301786195,0.0287110619,0.0959990472,0.0946329683,0.1304437816,0.0000000000,0.0000000000,0.0292969737,0.0917763039,0.1016864404,0.1432553679,0.1431086212,0.0000007873,0.0000000000,0.0000000000,0.0000000000,-0.0320656337,0.1696928442,-0.0054931496,0.0469436646,0.1696915329,0.0080401665
20:20:24:07.503,61,0.0347611047,0.2765013278,0.0770219788,0.0000000000,0.0000000000,0.0621523447,0.0000000000,0.0338746160,0.2766547799,0.0542826727,0.0000000000,0.0000000000,0.0621927157,0.0000000000,0.0317460224,0.0111130839,0.0000000000,0.0772804990,0.0986051559,0.0710512251,0.1713228971,0.0336274244,0.0000000000,0.1640841216,0.1441740096,0.0000000000,0.0000000000,0.0468214005,0.0467028767,0.1420768648,0.1314875036,0.0939262956,0.0355771296,0.1564692557,0.0880805179,0.0492998250,0.0483252071,0.1413116753,0.1310488880,0.0302229580,0.0286922138,0.0962827727,0.0948907062,0.1298597008,0.0000000000,0.0000000000,0.0290957335,0.0914287642,0.1011209190,0.1423227936,0.1420321018,0.0000008230,0.0000000000,0.0000000000,0.0000000000,-0.0326868333,0.1690899730,-0.0055792499,0.0463800244,0.1690886468,0.0079149362
20:20:24:08.504,61,0.0339914635,0.2762277424,0.0770019665,0.0000000000,0.0000000000,0.0620199740,0.0000000000,0.0331085809,0.2763808668,0.0542870089,0.0000000000,0.0000000000,0.0620608479,0.0000000000,0.0317143016,0.0110003548,0.0000000000,0.0771438703,0.0984863862,0.0707744285,0.1695405245,0.0341120474,0.0000000000,0.1636628807,0.1437731087,0.0000000000,0.0000000000,0.0467442572,0.0465973616,0.1431757957,0.1315761954,0.0942047015,0.0354644880,0.1559783816,0.0879322737,0.0491938628,0.0482218601,0.1432496309,0.1328145415,0.0302745495,0.0286875218,0.0959701315,0.0945703611,0.1298551112,0.0000000000,0.0000000000,0.0290245879,0.0914098322,0.1010222435,0.1421078891,0.1417677701,0.0000007418,0.0000000000,0.0000000000,0.0000000000,-0.0326903760,0.1689226031,-0.0055742236,0.0463692844,0.1689212620,0.0079051219
20:20:24:09.505,61,0.0337491408,0.2748191655,0.0769247636,0.0000000000,0.0000000000,0.0617817342,0.0000000000,0.0328632407,0.2749709487,0.0542916879,0.0000000000,0.0000000000,0.0618229397,0.0000000000,0.0313905403,0.0110080689,0.0000000000,0.0752555579,0.0957868472,0.0675952733,0.1671505421,0.0346823335,0.0000000000,0.1633420885,0.1433759630,0.0000000000,0.0000000000,0.0464330465,0.0462574698,0.1426512450,0.1307532936,0.0939375311,0.0351477899,0.1555861086,0.0878889859,0.0489954390,0.0480297469,0.1385652274,0.1285098493,0.0301636364,0.0285177305,0.0959582478,0.0945416540,0.1289211214,0.0000000000,0.0000000000,0.0288413521,0.0909007341,0.1002920866,0.1413817108,0.1409570426,0.0000002171,0.0000000000,0.0000000000,0.0000000000,-0.0326979831,0.1680608988,-0.0055465349,0.0463295765,0.1680595130,0.0078572948
20:20:24:10.505,61,0.0333917253,0.2746039629,0.0772032887,0.0000000000,0.0000000000,0.0615988187,0.0000000000,0.0324991830,0.2747594118,0.0539974943,0.0000000000,0.0000000000,0.0616401955,0.0000000000,0.0310360547,0.0110015674,0.0000000000,0.0731520504,0.0931329578,0.0652923882,0.1635389179,0.0352923609,0.0000000000,0.1629962623,0.1428143680,0.0000000000,0.0000000000,0.0460831858,0.0458763391,0.1423260570,0.1302757859,0.0936424360,0.0347619206,0.1554694623,0.0880141482,0.0488159880,0.0478486754,0.1357223541,0.1254812628,0.0300730094,0.0283567756,0.0960310996,0.0945896879,0.1281097531,0.0000000000,0.0000000000,0.0286071096,0.0904153436,0.0996932536,0.1408016831,0.1403065622,0.0000002686,0.0000000000,0.0000000000,0.0000000000,-0.0325215161,0.1679306179,-0.0055122548,0.0464983545,0.1679292619,0.0078796688
20:20:24:11.506,61,0.0333936810,0.2745443285,0.0777554139,0.0000000000,0.0000000000,0.0614031367,0.0000000000,0.0325020701,0.2747069299,0.0534659177,0.0000000000,0.0000000000,0.0614441782,0.0000000000,0.0305768643,0.0108873416,0.0000000000,0.0698668957,0.0886533409,0.0619086809,0.1607304811,0.0355176553,0.0000000000,0.1624235213,0.1422646642,0.0000000000,0.0000000000,0.0455903001,0.0453800410,0.1402958930,0.1292834133,0.0931511745,0.0342354663,0.1557575911,0.0884730145,0.0486124344,0.0476343185,0.1256420314,0.1178701892,0.0299574248,0.0281984545,0.0958592519,0.0943959057,0.1269602329,0.0000000000,0.0000000000,0.0283310022,0.0899345800,0.0991348624,0.1401983202,0.1396861225,0.0000012911,0.0000000000,0.0000000000,0.0000000000,-0.0322015323,0.1678967774,-0.0054569175,0.0468311757,0.1678954214,0.0079343971
