Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:20:00:13.014,61,0.0013460563,0.2166170180,0.1068929061,0.0000000000,0.0000000000,0.0783891976,0.0430229567,0.0014684290,0.2170544118,0.0232553706,0.0000000000,0.0000000000,0.0784353763,0.0435376577,0.0482400469,0.0004117517,0.0000000000,0.1195075288,0.1462006867,0.1080028266,0.2176287323,0.0243503638,0.0000000000,0.1467841864,0.1407277882,0.0000000000,0.0000000000,0.0561027601,0.0571379475,0.1841359437,0.1780326217,0.1052293703,0.0480933599,0.1382006705,0.0728607178,0.0510277599,0.0497579798,0.1905021667,0.1806947887,0.0300514754,0.0296505969,0.1317188591,0.1304044724,0.1305359602,0.0000000000,0.0000000000,0.0303902160,0.1057972759,0.1161271483,0.1410523057,0.1489571780,0.0000095346,0.0000000000,0.0000000000,0.0000000000,-0.0140812006,0.1326042414,-0.0018781844,0.0647255182,0.1326031089,0.0086272266
20:20:00:14.015,61,0.0012385786,0.2264003903,0.1051852554,0.0000000000,0.0000000000,0.0786355510,0.0417237282,0.0013512053,0.2268378288,0.0251077544,0.0000000000,0.0000000000,0.0786815435,0.0422455333,0.0480714552,0.0003589661,0.0000000000,0.1194270477,0.1459682435,0.1082616001,0.2457311451,0.0256648697,0.0000000000,0.1436256021,0.1266577095,0.0000000000,0.0000000000,0.0556778312,0.0565886274,0.1828428358,0.1753901243,0.1041543558,0.0476259887,0.1458443850,0.0756219327,0.0512267575,0.0499590635,0.1899424493,0.1800621152,0.0304279644,0.0299070869,0.1364589334,0.1352106482,0.1306780279,0.0000000000,0.0000000000,0.0308769885,0.1066539213,0.1171754524,0.1469094902,0.1527439505,0.0000062375,0.0000000000,0.0000000000,0.0000000000,-0.0151904337,0.1385834515,-0.0021186389,0.0636396706,0.1385824531,0.0088700149
20:20:00:15.015,61,0.0011397626,0.2331950366,0.1046638861,0.0000000000,0.0000000000,0.0786929429,0.0411398783,0.0012434172,0.2336392105,0.0256207567,0.0000000000,0.0000000000,0.0787383541,0.0416620970,0.0479715988,0.0003404382,0.0000000000,0.1191823781,0.1456747949,0.1082079187,0.2395092249,0.0263661705,0.0000000000,0.1425517201,0.1227267012,0.0000000000,0.0000000000,0.0553915985,0.0561996549,0.1823530793,0.1744619012,0.1037267819,0.0472552106,0.1482920051,0.0767229870,0.0513971448,0.0501257777,0.1894872934,0.1795499921,0.0307149831,0.0300980620,0.1363218576,0.1350937486,0.1306476593,0.0000000000,0.0000000000,0.0311288387,0.1070329323,0.1176213026,0.1490790993,0.1543160528,0.0000040667,0.0000000000,0.0000000000,0.0000000000,-0.0154916877,0.1427393407,-0.0022263217,0.0632870570,0.1427384466,0.0090890303
20:20:00:16.018,61,0.0010488731,0.2306514680,0.1057799980,0.0000000000,0.0000000000,0.0787997171,0.0406518951,0.0011442690,0.2311033309,0.0245457701,0.0000000000,0.0000000000,0.0788446590,0.0411802046,0.0478169434,0.0002863483,0.0000000000,0.1187265739,0.1452277601,0.1079000980,0.1953236014,0.0268179104,0.0000000000,0.1423646063,0.1210578531,0.0000000000,0.0000000000,0.0552419610,0.0559694543,0.1821077615,0.1740579456,0.1037036851,0.0469602607,0.1494899094,0.0773383901,0.0514797270,0.0501908511,0.1891001463,0.1790520847,0.0309391338,0.0302310791,0.1376114041,0.1363793910,0.1304896474,0.0000000000,0.0000000000,0.0311704110,0.1072627679,0.1177812144,0.1501353532,0.1551027596,0.0000027486,0.0000000000,0.0000000000,0.0000000000,-0.0148449782,0.1411886811,-0.0021099013,0.0639761090,0.1411877424,0.0090866927
20:20:00:17.019,61,0.0009652544,0.2290789932,0.1075494513,0.0000000000,0.0000000000,0.0793789029,0.0404907800,0.0010530490,0.2295472175,0.0228656195,0.0000000000,0.0000000000,0.0794265121,0.0410330035,0.0478904285,0.0005327284,0.0000000000,0.1187341064,0.1451611221,0.1080411524,0.1856341511,0.0286488924,0.0000000000,0.1422331780,0.1202062443,0.0000000000,0.0000000000,0.0552653968,0.0559223220,0.1840823889,0.1744258851,0.1040280461,0.0468609259,0.1501498818,0.0777230188,0.0516353883,0.0503425002,0.1893402934,0.1789758056,0.0311407931,0.0303126741,0.1407924294,0.1393490583,0.1307285875,0.0000000000,0.0000000000,0.0313431136,0.1077913120,0.1182586327,0.1505694985,0.1554632932,0.0000029888,0.0000000000,0.0000000000,0.0000000000,-0.0138307093,0.1402359158,-0.0019523130,0.0650551021,0.1402350068,0.0091765476
20:20:00:18.020,61,0.0008883144,0.2283038050,0.1089111641,0.0000000000,0.0000000000,0.0801084414,0.0400726348,0.0009691129,0.2287854403,0.0215363801,0.0000000000,0.0000000000,0.0801608488,0.0406349599,0.0480700582,0.0009306880,0.0000000000,0.1194895357,0.1455866545,0.1083335131,0.1930724531,0.0334626362,0.0000000000,0.1421047300,0.1197895855,0.0000000000,0.0000000000,0.0553451888,0.0559286550,0.1853048652,0.1747742891,0.1043877453,0.0469456390,0.1503400058,0.0778564811,0.0517465435,0.0504532531,0.1905123144,0.1792111546,0.0313468240,0.0303786360,0.1414317340,0.1399161071,0.1311641783,0.0000000000,0.0000000000,0.0315295905,0.1091160700,0.1198240742,0.1509285718,0.1558303535,0.0000032549,0.0000000000,0.0000000000,0.0000000000,-0.0130275479,0.1397690028,-0.0018327439,0.0658831522,0.1397680640,0.0092618270
20:20:00:19.021,61,0.0008175137,0.2260839194,0.1105641276,0.0000000000,0.0000000000,0.0808323026,0.0402542539,0.0008918735,0.2265790403,0.0199043714,0.0000000000,0.0000000000,0.0808873251,0.0408359803,0.0484880470,0.0013459483,0.0000000000,0.1213412732,0.1464054137,0.1089121029,0.1940295547,0.0352292024,0.0000000000,0.1415745467,0.1193940938,0.0000000000,0.0000000000,0.0555067882,0.0560258441,0.1929304749,0.1792173684,0.1048072875,0.0471505038,0.1502799243,0.0778527036,0.0518640950,0.0505956672,0.1923636347,0.1796566695,0.0315249078,0.0304447040,0.1340325028,0.1323666573,0.1314932555,0.0000000000,0.0000000000,0.0317930430,0.1099874079,0.1208615527,0.1509974152,0.1560148895,0.0000040677,0.0000000000,0.0000000000,0.0000000000,-0.0120426062,0.1384193897,-0.0016776160,0.0668957308,0.1384183913,0.0093119759
20:20:00:20.021,61,0.0007523596,0.2251040339,0.1113014519,0.0000000000,0.0000000000,0.0814396888,0.0407814085,0.0008207936,0.2256050259,0.0192217417,0.0000000000,0.0000000000,0.0814963728,0.0413812101,0.0488338433,0.0017012230,0.0000000000,0.1220617816,0.1469310522,0.1092392206,0.1936442107,0.0364960767,0.0000000000,0.1411277652,0.1189526841,0.0000000000,0.0000000000,0.0556555986,0.0561158918,0.1954482496,0.1808890551,0.1052597314,0.0472791977,0.1500948071,0.0777991042,0.0518548042,0.0505951270,0.1931966990,0.1798866242,0.0317058414,0.0304935612,0.1268107891,0.1250299364,0.1318152398,0.0000000000,0.0000000000,0.0317327008,0.1105162203,0.1213518456,0.1509121805,0.1559476256,0.0000034957,0.0000000000,0.0000000000,0.0000000000,-0.0116305631,0.1378236860,-0.0016131564,0.0673474297,0.1378226429,0.0093338909
20:20:00:21.023,61,0.0006923999,0.2228725851,0.1131048724,0.0000000000,0.0000000000,0.0821253136,0.0408399999,0.0007553803,0.2233882695,0.0173892714,0.0000000000,0.0000000000,0.0821840316,0.0414577462,0.0488433316,0.0019914315,0.0000000000,0.1220844388,0.1469798237,0.1094234362,0.1932885349,0.0373483896,0.0000000000,0.1405559033,0.1184270978,0.0000000000,0.0000000000,0.0556915663,0.0561035015,0.1965141743,0.1816677153,0.1055515260,0.0472967625,0.1497989595,0.0777005404,0.0518005155,0.0505334921,0.1934313923,0.1797429770,0.0318448283,0.0305119082,0.1247543842,0.1229298934,0.1322734505,0.0000000000,0.0000000000,0.0316428393,0.1107341200,0.1214752048,0.1505977362,0.1556749046,0.0000035917,0.0000000000,0.0000000000,0.0000000000,-0.0105237486,0.1364677399,-0.0014451069,0.0684514940,0.1364667118,0.0093921609
20:20:00:22.024,61,0.0006372198,0.2191233784,0.1158008352,0.0000000000,0.0000000000,0.0827243701,0.0401688032,0.0006951812,0.2196593285,0.0146275945,0.0000000000,0.0000000000,0.0827845857,0.0408186056,0.0485416278,0.0021550769,0.0000000000,0.1194473431,0.1458103061,0.1087535694,0.1776881963,0.0378979594,0.0000000000,0.1402804703,0.1182186231,0.0000000000,0.0000000000,0.0556183010,0.0559924841,0.1966093779,0.1818058491,0.1054540649,0.0471903794,0.1477366984,0.0773363113,0.0515180714,0.0502370335,0.1911777109,0.1767835319,0.0318479761,0.0304172803,0.1229930446,0.1211496666,0.1321616471,0.0000000000,0.0000000000,0.0312800147,0.1105295345,0.1211176738,0.1474971026,0.1525760442,0.0000038127,0.0000000000,0.0000000000,0.0000000000,-0.0088551668,0.1341875494,-0.0011954206,0.0701048896,0.1341864467,0.0094559668
