Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:19:31:42.240,61,0.0023371521,0.2033739686,0.0697884485,0.0000000000,0.0000000000,0.0799051225,0.0228615738,0.0023316955,0.2033905238,0.0588122793,0.0000000000,0.0000000000,0.0800073519,0.0235385373,0.0564903095,0.0059446539,0.0000000000,0.1483341753,0.1726240367,0.1124766022,0.1730184108,0.0445374176,0.0000000000,0.1237418950,0.1120589599,0.0000000000,0.0000000000,0.0563076884,0.0570155941,0.2002520114,0.1870789826,0.1230380535,0.0530815870,0.1493795812,0.0758896321,0.0516015328,0.0512291603,0.1935044527,0.1850283295,0.0290211160,0.0272841528,0.0826045945,0.0814265907,0.1210827678,0.0000000000,0.0000000000,0.0297843181,0.0903051198,0.0988864973,0.1357239336,0.1372329146,0.0000138615,0.0000000000,0.0000000000,0.0000000000,-0.0356493182,0.1243235990,-0.0044540563,0.0423025712,0.1243459135,0.0052858051
20:19:31:43.240,61,0.0021654132,0.2052200139,0.0696045831,0.0000000000,0.0000000000,0.0798235238,0.0238833241,0.0021603622,0.2052350193,0.0590272471,0.0000000000,0.0000000000,0.0799239278,0.0245371368,0.0561645888,0.0056021083,0.0000000000,0.1464231312,0.1715421230,0.1120238528,0.1739727259,0.0444205143,0.0000000000,0.1241306290,0.1121967956,0.0000000000,0.0000000000,0.0561682545,0.0568234399,0.1995309740,0.1865022331,0.1228961721,0.0527283847,0.1501653790,0.0762754753,0.0516743921,0.0512946062,0.1925454140,0.1841987371,0.0290838480,0.0273307301,0.0870440528,0.0859444737,0.1206213981,0.0000000000,0.0000000000,0.0296726376,0.0903820619,0.0989192799,0.1360305548,0.1374719590,0.0000121684,0.0000000000,0.0000000000,0.0000000000,-0.0357745662,0.1254516095,-0.0045106784,0.0421851575,0.1254740059,0.0053194668
20:19:31:44.241,61,0.0020006155,0.2049943060,0.0695919022,0.0000000000,0.0000000000,0.0798270777,0.0245107133,0.0019959512,0.2050092369,0.0590204149,0.0000000000,0.0000000000,0.0799253061,0.0251492523,0.0557911284,0.0051746010,0.0000000000,0.1437355876,0.1692585647,0.1115665659,0.1750451773,0.0438127071,0.0000000000,0.1240278706,0.1121511534,0.0000000000,0.0000000000,0.0559806190,0.0565918013,0.1971168369,0.1854564846,0.1225608885,0.0524329543,0.1505302191,0.0765130892,0.0517648049,0.0513785630,0.1913340390,0.1834077388,0.0290701650,0.0273414701,0.0928991437,0.0919056535,0.1200560182,0.0000000000,0.0000000000,0.0296743307,0.0902848691,0.0987722948,0.1360004693,0.1374497265,0.0000131424,0.0000000000,0.0000000000,0.0000000000,-0.0357710533,0.1253135949,-0.0045052208,0.0421782024,0.1253359765,0.0053126770
20:19:31:45.242,61,0.0018453404,0.2060703933,0.0699317008,0.0000000000,0.0000000000,0.0798688158,0.0245683566,0.0018410394,0.2060891390,0.0586279295,0.0000000000,0.0000000000,0.0799660832,0.0251965765,0.0553550124,0.0049001542,0.0000000000,0.1402006894,0.1654287726,0.1110529453,0.1761583388,0.0435000733,0.0000000000,0.1242401972,0.1123850420,0.0000000000,0.0000000000,0.0557890795,0.0563497543,0.1943028271,0.1826036721,0.1221408620,0.0521210842,0.1508417428,0.0767912045,0.0519450903,0.0515511185,0.1904988438,0.1826585829,0.0290761329,0.0273578968,0.0951697305,0.0942113176,0.1196222007,0.0000000000,0.0000000000,0.0298048072,0.0902307481,0.0987009853,0.1359779686,0.1374254525,0.0000137192,0.0000000000,0.0000000000,0.0000000000,-0.0355302170,0.1259726286,-0.0044986848,0.0423806235,0.1259949654,0.0053665233
20:19:31:46.243,61,0.0020837840,0.2080356628,0.0710978955,0.0000000000,0.0000000000,0.0798086077,0.0234988332,0.0020761474,0.2080662549,0.0574742705,0.0000000000,0.0000000000,0.0799054578,0.0240648501,0.0548252724,0.0048193750,0.0000000000,0.1382599175,0.1637407094,0.1105496362,0.1780004352,0.0434517041,0.0000000000,0.1247028783,0.1128914654,0.0000000000,0.0000000000,0.0555684268,0.0560847335,0.1915238202,0.1786718667,0.1218160987,0.0517568551,0.1512265354,0.0771275833,0.0520796552,0.0516881756,0.1897956878,0.1819282323,0.0291350912,0.0274122395,0.0963395536,0.0953902006,0.1195486113,0.0000000000,0.0000000000,0.0298752207,0.0903782323,0.0988384336,0.1362550408,0.1377181858,0.0000123673,0.0000000000,0.0000000000,0.0000000000,-0.0348257162,0.1271779984,-0.0044521699,0.0430807844,0.1272004098,0.0055078813
20:19:31:47.245,61,0.0021637788,0.2084348351,0.0728635788,0.0000000000,0.0000000000,0.0795716867,0.0229729787,0.0021552695,0.2084826976,0.0557849370,0.0000000000,0.0000000000,0.0796682835,0.0235261209,0.0544531047,0.0049352595,0.0000000000,0.1375707239,0.1631432623,0.1102084816,0.1784412265,0.0447288826,0.0000000000,0.1252936721,0.1133157387,0.0000000000,0.0000000000,0.0554748885,0.0559604093,0.1905377209,0.1772242785,0.1218496934,0.0515091009,0.1515646577,0.0773815364,0.0520575047,0.0516715273,0.1894768476,0.1814479083,0.0292329919,0.0274568964,0.0952864289,0.0942132324,0.1197672486,0.0000000000,0.0000000000,0.0297779460,0.0905421823,0.0989590064,0.1366340667,0.1380634010,0.0000097946,0.0000000000,0.0000000000,0.0000000000,-0.0338009968,0.1274280250,-0.0043298081,0.0441492982,0.1274504811,0.0056556156
20:19:31:48.246,61,0.0021070165,0.2080581337,0.0740924254,0.0000000000,0.0000000000,0.0793502033,0.0226592422,0.0020985038,0.2081178725,0.0545805804,0.0000000000,0.0000000000,0.0794463158,0.0232099369,0.0541640781,0.0050037066,0.0000000000,0.1373782307,0.1629632264,0.1101715639,0.1790381074,0.0453222133,0.0000000000,0.1253081709,0.1133583412,0.0000000000,0.0000000000,0.0553349480,0.0557995513,0.1902355403,0.1766005307,0.1217633411,0.0512717441,0.1518884003,0.0776205882,0.0520296209,0.0516547970,0.1892378926,0.1810697317,0.0293302462,0.0275153257,0.0930815339,0.0919516981,0.1200551689,0.0000000000,0.0000000000,0.0297938045,0.0906491056,0.0990476757,0.1369479299,0.1384052783,0.0000053294,0.0000000000,0.0000000000,0.0000000000,-0.0330722071,0.1272019446,-0.0042288899,0.0448951833,0.1272243857,0.0057407878
20:19:31:49.246,61,0.0019958247,0.2087122500,0.0765044093,0.0000000000,0.0000000000,0.0791084096,0.0227110442,0.0019876279,0.2087959647,0.0522292145,0.0000000000,0.0000000000,0.0792043656,0.0232682284,0.0538292043,0.0050779297,0.0000000000,0.1373250782,0.1628709137,0.1101926118,0.1814122349,0.0457675941,0.0000000000,0.1258324236,0.1138889417,0.0000000000,0.0000000000,0.0551833361,0.0556264259,0.1898670942,0.1760264933,0.1215270758,0.0509797558,0.1522930264,0.0779271647,0.0520931520,0.0517253987,0.1890810728,0.1807664335,0.0294610057,0.0276123397,0.0921790451,0.0910245851,0.1200628951,0.0000000000,0.0000000000,0.0299546700,0.0909399539,0.0993688405,0.1375292838,0.1393041164,0.0000027756,0.0000000000,0.0000000000,0.0000000000,-0.0316457637,0.1276104301,-0.0040596942,0.0463543013,0.1276329011,0.0059464709
20:19:31:50.248,61,0.0018671331,0.2093831599,0.0774883032,0.0000000000,0.0000000000,0.0788122267,0.0226782560,0.0018593955,0.2094768137,0.0512855090,0.0000000000,0.0000000000,0.0789084285,0.0232451949,0.0535630211,0.0052742693,0.0000000000,0.1375741959,0.1630387157,0.1102877706,0.1826249212,0.0463727638,0.0000000000,0.1259305626,0.1140074581,0.0000000000,0.0000000000,0.0550403483,0.0554637499,0.1900574267,0.1759258658,0.1213868782,0.0506956577,0.1527935565,0.0782773495,0.0521095172,0.0517578758,0.1889946014,0.1804790646,0.0296091922,0.0277148839,0.0915949047,0.0904241875,0.1200530678,0.0000000000,0.0000000000,0.0300953742,0.0911918655,0.0996841565,0.1381522715,0.1400532424,0.0000026087,0.0000000000,0.0000000000,0.0000000000,-0.0310723055,0.1280242503,-0.0039992207,0.0469479635,0.1280467361,0.0060423128
20:19:31:51.249,61,0.0017609170,0.2084361315,0.0784045532,0.0000000000,0.0000000000,0.0787741318,0.0225910526,0.0017536759,0.2085381746,0.0504089110,0.0000000000,0.0000000000,0.0788717493,0.0231676660,0.0533213653,0.0055891923,0.0000000000,0.1384919137,0.1635880470,0.1106033847,0.1890261471,0.0470270626,0.0000000000,0.1258165091,0.1140584648,0.0000000000,0.0000000000,0.0548762158,0.0552912503,0.1902600378,0.1758090854,0.1211143956,0.0504915379,0.1530899256,0.0785071701,0.0520801544,0.0517459735,0.1891113073,0.1803752929,0.0297476705,0.0278108492,0.0916576162,0.0904760286,0.1200192049,0.0000000000,0.0000000000,0.0301926825,0.0915850326,0.1002002507,0.1387955844,0.1408138573,0.0000029025,0.0000000000,0.0000000000,0.0000000000,-0.0305434614,0.1274484992,-0.0039133043,0.0475066081,0.1274709851,0.0060863639
