Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:20:27:35.718,61,0.0006218379,0.1562908739,0.0780037716,0.0000000000,0.0000000000,0.1296962053,0.5244709253,0.0006202745,0.1563987732,0.0524909198,0.0000000000,0.0000000000,0.1298300922,0.5256323814,0.0683527887,0.0158655532,0.0000000000,0.1303106993,0.1473388076,0.1050932333,0.1794669777,0.0388239771,0.0000000000,0.0851899981,0.0674058422,0.0000000000,0.0000000000,0.0648504719,0.0631114841,0.2444412708,0.2337349206,0.1626910269,0.0699388981,0.1549903601,0.0779419765,0.0653493926,0.0701807663,0.1891519725,0.1650931537,0.0222072583,0.0212829635,0.1739188582,0.1729712635,0.1112825125,0.0000000000,0.0000000000,0.0399767607,0.1106726527,0.1261935979,0.1293623000,0.1344367713,0.0000014977,0.0000000000,0.0000000000,0.0000000000,-0.0319186077,0.0955874324,-0.0030598147,0.0474326350,0.0955804884,0.0045457548
20:20:27:36.719,61,0.0005722824,0.1563520133,0.0787256658,0.0000000000,0.0000000000,0.1282889098,0.4628245533,0.0005708435,0.1564654261,0.0517599732,0.0000000000,0.0000000000,0.1284136474,0.4640516341,0.0679894313,0.0154962977,0.0000000000,0.1298064739,0.1470687240,0.1056093052,0.1801285297,0.0391236618,0.0000000000,0.0866558626,0.0675635338,0.0000000000,0.0000000000,0.0646494552,0.0628749505,0.2428356558,0.2319709808,0.1544301957,0.0683053210,0.1551710516,0.0781812370,0.0652897060,0.0700401142,0.1882846653,0.1646862924,0.0223071668,0.0213278700,0.1560776234,0.1550344229,0.1116543487,0.0000000000,0.0000000000,0.0403231382,0.1106854156,0.1260682940,0.1293639392,0.1342490911,0.0000026228,0.0000000000,0.0000000000,0.0000000000,-0.0314740054,0.0956267938,-0.0030184591,0.0478714332,0.0956198946,0.0045896778
20:20:27:37.721,61,0.0005266760,0.1547926813,0.0793248266,0.0000000000,0.0000000000,0.1260721087,0.3904877901,0.0005253518,0.1549098939,0.0510729812,0.0000000000,0.0000000000,0.1261926442,0.3919015825,0.0668669716,0.0152994934,0.0000000000,0.1247783750,0.1448155940,0.1057596281,0.1801122725,0.0406623408,0.0000000000,0.0950452462,0.0685575679,0.0000000000,0.0000000000,0.0644236431,0.0625925213,0.2384025007,0.2235994488,0.1480277330,0.0648947135,0.1554684490,0.0785544664,0.0650919527,0.0697112381,0.1853033453,0.1634523720,0.0224713199,0.0213973187,0.1508446783,0.1497651935,0.1121423990,0.0000000000,0.0000000000,0.0404920615,0.1103907302,0.1255142093,0.1292097569,0.1337617040,0.0000031058,0.0000000000,0.0000000000,0.0000000000,-0.0310590807,0.0946748778,-0.0029488490,0.0482401550,0.0946679413,0.0045786793
20:20:27:38.722,61,0.0004847041,0.1553036273,0.0796538368,0.0000000000,0.0000000000,0.1239920855,0.3015340865,0.0004834855,0.1554238498,0.0506648198,0.0000000000,0.0000000000,0.1241130978,0.3030058146,0.0652543083,0.0151181053,0.0000000000,0.1202459037,0.1419872046,0.1056298912,0.1805163026,0.0413403288,0.0000000000,0.1000984237,0.0730452985,0.0000000000,0.0000000000,0.0640313476,0.0621954389,0.2304504216,0.2155124247,0.1429028958,0.0615196377,0.1562605202,0.0791430771,0.0650083721,0.0694366172,0.1795123369,0.1609890014,0.0226549357,0.0215033889,0.1478970945,0.1467917264,0.1125737354,0.0000000000,0.0000000000,0.0408440828,0.1101909503,0.1251463741,0.1293164343,0.1335607767,0.0000037388,0.0000000000,0.0000000000,0.0000000000,-0.0308099482,0.0949882418,-0.0029349441,0.0484387949,0.0949813202,0.0046128291
20:20:27:39.722,61,0.0004460771,0.1622685492,0.0831350461,0.0000000000,0.0000000000,0.1207978725,0.2199060470,0.0004449556,0.1624208987,0.0471253023,0.0000000000,0.0000000000,0.1209194586,0.2210905701,0.0639882013,0.0148219569,0.0000000000,0.1180791035,0.1407413483,0.1056900397,0.1806037873,0.0413322374,0.0000000000,0.1029396430,0.0850709602,0.0000000000,0.0000000000,0.0635314062,0.0617609285,0.2272154987,0.2123425603,0.1383898258,0.0584780350,0.1575303972,0.0800841376,0.0647398233,0.0689569935,0.1775614023,0.1601938158,0.0230098367,0.0218232851,0.1380305141,0.1370660067,0.1131561100,0.0000000000,0.0000000000,0.0409225635,0.1102731675,0.1251706928,0.1303773373,0.1343762130,0.0000037662,0.0000000000,0.0000000000,0.0000000000,-0.0286455955,0.0992581472,-0.0028522853,0.0505348071,0.0992513448,0.0050299983
20:20:27:40.723,61,0.0004105283,0.1797578633,0.0886715800,0.0000000000,0.0000000000,0.1150934398,0.1575773805,0.0004094962,0.1799722612,0.0417573415,0.0000000000,0.0000000000,0.1152029932,0.1584567279,0.0630485937,0.0143265380,0.0000000000,0.1164014563,0.1398264170,0.1055505648,0.1778542548,0.0410438329,0.0000000000,0.1175500527,0.1044897586,0.0000000000,0.0000000000,0.0631841347,0.0614895597,0.2236717343,0.2095092982,0.1362439245,0.0568801761,0.1581426859,0.0806886032,0.0642868355,0.0680928901,0.1769811809,0.1602650136,0.0234412905,0.0222327895,0.1222638339,0.1214023903,0.1157010496,0.0000000000,0.0000000000,0.0407339931,0.1104609147,0.1252729744,0.1317343563,0.1356270909,0.0000024466,0.0000000000,0.0000000000,0.0000000000,-0.0253540762,0.1099742800,-0.0027992851,0.0538398325,0.1099678203,0.0059416904
20:20:27:41.725,61,0.0003778125,0.1919230223,0.0924396515,0.0000000000,0.0000000000,0.1093203127,0.1301414371,0.0003768626,0.1921850890,0.0381733067,0.0000000000,0.0000000000,0.1094266623,0.1309415549,0.0613609031,0.0140554458,0.0000000000,0.1141650528,0.1384869665,0.1048345119,0.1766926646,0.0409315974,0.0000000000,0.1219235361,0.1104892716,0.0000000000,0.0000000000,0.0628439561,0.0612135977,0.2191766649,0.2043261975,0.1348377317,0.0557295978,0.1585614681,0.0811450705,0.0637585223,0.0672408268,0.1765176654,0.1601197124,0.0237971023,0.0225573126,0.1129347235,0.1120199338,0.1179305241,0.0000000000,0.0000000000,0.0404535793,0.1103473380,0.1250493824,0.1324564815,0.1362230480,0.0000013622,0.0000000000,0.0000000000,0.0000000000,-0.0231582075,0.1174308434,-0.0027318068,0.0560801253,0.1174245626,0.0066120555
20:20:27:42.726,61,0.0003477039,0.1962048262,0.0946271718,0.0000000000,0.0000000000,0.1046127900,0.1169330105,0.0003468297,0.1964925826,0.0361563936,0.0000000000,0.0000000000,0.1047229171,0.1177132577,0.0603946485,0.0140889212,0.0000000000,0.1129982993,0.1376476735,0.1042011082,0.1728850603,0.0411932021,0.0000000000,0.1245357841,0.1135328189,0.0000000000,0.0000000000,0.0627077743,0.0611464530,0.2176084667,0.2024585754,0.1341487318,0.0549542308,0.1588929743,0.0814745501,0.0632131547,0.0664789006,0.1764923781,0.1600836813,0.0241164584,0.0228269473,0.1080946475,0.1070289612,0.1199837849,0.0000000000,0.0000000000,0.0400324017,0.1100655124,0.1246049181,0.1328094155,0.1364522874,0.0000003776,0.0000000000,0.0000000000,0.0000000000,-0.0219277460,0.1200595051,-0.0026451387,0.0573893040,0.1200533137,0.0069191591
20:20:27:43.727,61,0.0003199947,0.2073027790,0.0995547324,0.0000000000,0.0000000000,0.0997602716,0.1068802848,0.0003191901,0.2076545656,0.0314342082,0.0000000000,0.0000000000,0.0998624340,0.1077235714,0.0595365949,0.0139660528,0.0000000000,0.1116391122,0.1359343827,0.0996402204,0.1714436412,0.0410662256,0.0000000000,0.1264033318,0.1153865084,0.0000000000,0.0000000000,0.0625742823,0.0610856600,0.2085101455,0.1944921315,0.1338234246,0.0543725528,0.1592790037,0.0818114132,0.0627450123,0.0658027008,0.1761112809,0.1597971171,0.0243362021,0.0230232980,0.1014627665,0.1002465338,0.1212761030,0.0000000000,0.0000000000,0.0397383980,0.1096943468,0.1239804700,0.1330849826,0.1366246343,0.0000008585,0.0000000000,0.0000000000,0.0000000000,-0.0190477651,0.1268720925,-0.0024295289,0.0603269674,0.1268661171,0.0076899566
20:20:27:44.728,61,0.0002944937,0.2276641428,0.1030950099,0.0000000000,0.0000000000,0.0924806520,0.0850228518,0.0002937532,0.2280863971,0.0281543341,0.0000000000,0.0000000000,0.0925606489,0.0860458165,0.0555044226,0.0137323169,0.0000000000,0.1021056324,0.1253639460,0.0870432183,0.1660268754,0.0408852287,0.0000000000,0.1310378760,0.1172713339,0.0000000000,0.0000000000,0.0621061139,0.0606858134,0.1918092370,0.1789672971,0.1306003630,0.0528258830,0.1592349112,0.0820232704,0.0612224862,0.0629576221,0.1718916744,0.1570130587,0.0245349985,0.0231970046,0.0860592201,0.0845379680,0.1225914061,0.0000000000,0.0000000000,0.0389522798,0.1076858193,0.1189570352,0.1332789063,0.1366854310,0.0000010579,0.0000000000,0.0000000000,0.0000000000,-0.0170318242,0.1393504143,-0.0023887544,0.0623683259,0.1393447816,0.0087414980
