Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:19:44:18.024,61,0.0897289366,0.2964982986,0.0925364941,0.0000000000,0.0000000000,0.0790295675,0.0000000000,0.0894854739,0.2968754172,0.0363816619,0.0000000000,0.0000000000,0.0790526718,0.0000000000,0.0977844819,0.0000000000,0.0086348597,0.1516754031,0.0690641180,0.0517099015,0.0521403588,0.0186759513,0.0000000000,0.7571684718,0.7635006309,0.0000000000,0.0000000000,0.0937212408,0.1012964547,0.1499749571,0.1347245127,0.0393333249,0.0287651755,0.0700501129,0.0567462556,0.0385404192,0.0376165546,0.5817649961,0.5796756744,0.1747297049,0.1709830761,0.1588101983,0.1580635160,0.1061681584,0.0000000000,0.0000000000,0.0097492393,0.2519759834,0.2707852721,0.2442772239,0.2474800348,0.0001987150,0.0000000000,0.0000000000,0.0000000000,-0.0218597762,0.1813946813,-0.0040089777,0.0556017198,0.1814039648,0.0101928804
20:19:44:19.025,61,0.0895604715,0.2965612411,0.0926119238,0.0000000000,0.0000000000,0.0790347382,0.0000000000,0.0893179327,0.2969394326,0.0363284275,0.0000000000,0.0000000000,0.0790576339,0.0000000000,0.0975546688,0.0000000000,0.0088926638,0.1514681280,0.0685532391,0.0518895574,0.0521388277,0.0186123960,0.0000000000,0.7573212981,0.7635449767,0.0000000000,0.0000000000,0.0934936479,0.1010638699,0.1488475949,0.1342262626,0.0392604880,0.0286039356,0.0702364817,0.0570177995,0.0385665596,0.0376306623,0.5759602189,0.5740228891,0.1782587022,0.1739638746,0.1583703160,0.1576236188,0.1059135124,0.0000000000,0.0000000000,0.0097648874,0.2523883581,0.2711423934,0.2435794026,0.2469645441,0.0001559039,0.0000000000,0.0000000000,0.0000000000,-0.0218276381,0.1814336926,-0.0040039639,0.0556466505,0.1814429462,0.0102033485
20:19:44:20.026,61,0.0895972103,0.2969673276,0.0924311280,0.0000000000,0.0000000000,0.0790384784,0.0000000000,0.0893547013,0.2973433435,0.0365413912,0.0000000000,0.0000000000,0.0790613145,0.0000000000,0.0972419083,0.0000000000,0.0089635113,0.1513350308,0.0682616532,0.0520178378,0.0521989241,0.0185314734,0.0000000000,0.7576916814,0.7639119625,0.0000000000,0.0000000000,0.0933362842,0.1009237543,0.1481224597,0.1337529421,0.0392279625,0.0284450352,0.0704517215,0.0572799481,0.0385683514,0.0376323462,0.5731019378,0.5713140965,0.1797686368,0.1754720211,0.1586076319,0.1578608006,0.1057654917,0.0000000000,0.0000000000,0.0097723138,0.2533715963,0.2727144957,0.2435565591,0.2470179796,0.0000660806,0.0000000000,0.0000000000,0.0000000000,-0.0219545979,0.1816810071,-0.0040328614,0.0555355027,0.1816902757,0.0101971794
20:19:44:21.026,61,0.0917106047,0.3010297716,0.0924201757,0.0000000000,0.0000000000,0.0789132640,0.0000000000,0.0914910138,0.3014104664,0.0365952253,0.0000000000,0.0000000000,0.0789357349,0.0000000000,0.0970438421,0.0000000000,0.0091253296,0.1507999003,0.0682054833,0.0519258343,0.0522547327,0.0183732994,0.0000000000,0.7635730505,0.7702288628,0.0000000000,0.0000000000,0.0934568942,0.1010307372,0.1474408358,0.1331765950,0.0392980352,0.0283397734,0.0706614181,0.0574565977,0.0386436917,0.0377125368,0.5739371181,0.5719633698,0.1805591881,0.1763102561,0.1611078531,0.1603678614,0.1055385992,0.0000000000,0.0000000000,0.0097996369,0.2561039031,0.2760619521,0.2479800135,0.2508495748,0.0000848137,0.0000000000,0.0000000000,0.0000000000,-0.0219768416,0.1841661930,-0.0040934258,0.0555034354,0.1841754764,0.0103338696
20:19:44:22.027,61,0.0926742032,0.3032096624,0.0923616961,0.0000000000,0.0000000000,0.0788838565,0.0000000000,0.0924605206,0.3035920560,0.0366971716,0.0000000000,0.0000000000,0.0789061859,0.0000000000,0.0970568582,0.0000000000,0.0090536606,0.1505174339,0.0682862476,0.0517531000,0.0523052923,0.0183606353,0.0000000000,0.7719064951,0.7793833017,0.0000000000,0.0000000000,0.0938165560,0.1014108285,0.1473249048,0.1329395473,0.0393736325,0.0282213837,0.0708756223,0.0576045364,0.0387579128,0.0378478058,0.5830478668,0.5789699554,0.1813181341,0.1770764887,0.1627870500,0.1620256007,0.1053792536,0.0000000000,0.0000000000,0.0098397247,0.2586632371,0.2795208395,0.2522096932,0.2544208765,0.0001670317,0.0000000000,0.0000000000,0.0000000000,-0.0220325775,0.1854994297,-0.0041342042,0.0554545149,0.1855087280,0.0104012424
20:19:44:23.028,61,0.0947494954,0.3071171045,0.0922590494,0.0000000000,0.0000000000,0.0787242875,0.0000000000,0.0945565030,0.3075022399,0.0369126275,0.0000000000,0.0000000000,0.0787462518,0.0000000000,0.0972587541,0.0000000000,0.0089647966,0.1506064385,0.0684601441,0.0516508073,0.0523920842,0.0183231439,0.0000000000,0.7748517394,0.7826126218,0.0000000000,0.0000000000,0.0942533016,0.1018844619,0.1472029835,0.1326682568,0.0394770131,0.0281449836,0.0711208060,0.0577601232,0.0388425626,0.0379611142,0.5857946873,0.5811939240,0.1819475740,0.1777352244,0.1630775779,0.1623135209,0.1055957153,0.0000000000,0.0000000000,0.0098922178,0.2599809766,0.2811568677,0.2553057671,0.2570473552,0.0002793358,0.0000000000,0.0000000000,0.0000000000,-0.0221519340,0.1878890991,-0.0042114165,0.0553679317,0.1878985316,0.0105219772
20:19:44:24.029,61,0.0972121805,0.3107716739,0.0914098620,0.0000000000,0.0000000000,0.0784618482,0.0000000000,0.0970287621,0.3111487925,0.0377723649,0.0000000000,0.0000000000,0.0784838200,0.0000000000,0.0976107344,0.0000000000,0.0086777005,0.1509985030,0.0687404424,0.0513806827,0.0523335449,0.0184145160,0.0000000000,0.7764570713,0.7844470739,0.0000000000,0.0000000000,0.0948596075,0.1025231108,0.1473532617,0.1325049251,0.0395424850,0.0281743221,0.0711079463,0.0576796420,0.0389118232,0.0380680934,0.5942538381,0.5882608294,0.1818757206,0.1777411252,0.1629512906,0.1621901691,0.1058301255,0.0000000000,0.0000000000,0.0099220909,0.2604361475,0.2819100618,0.2568914294,0.2585222721,0.0004118009,0.0000000000,0.0000000000,0.0000000000,-0.0226582196,0.1901193857,-0.0043600290,0.0548349246,0.1901288927,0.0105474945
20:19:44:25.031,61,0.0980895162,0.3114832044,0.0905621946,0.0000000000,0.0000000000,0.0782653019,0.0000000000,0.0979100317,0.3118487597,0.0386136323,0.0000000000,0.0000000000,0.0782875270,0.0000000000,0.0982005894,0.0000000000,0.0083731106,0.1562400311,0.0691429600,0.0510936417,0.0522163510,0.0184176322,0.0000000000,0.7767652869,0.7849184275,0.0000000000,0.0000000000,0.0954152942,0.1031241640,0.1488477588,0.1328731775,0.0395789668,0.0282760374,0.0709409788,0.0574843250,0.0389506780,0.0381350368,0.5995214581,0.5940235853,0.1813760996,0.1773730665,0.1629727483,0.1622169018,0.1060630605,0.0000000000,0.0000000000,0.0099304849,0.2604609728,0.2821546793,0.2579511404,0.2595347166,0.0004674493,0.0000000000,0.0000000000,0.0000000000,-0.0231609512,0.1905493140,-0.0044670762,0.0543218926,0.1905588210,0.0104731238
20:19:44:26.032,61,0.0980876759,0.3088088632,0.0906393901,0.0000000000,0.0000000000,0.0783138052,0.0000000000,0.0979068428,0.3091725707,0.0385084823,0.0000000000,0.0000000000,0.0783361346,0.0000000000,0.0986125991,0.0000000000,0.0082288068,0.1577045172,0.0691343322,0.0509418286,0.0521288030,0.0182519984,0.0000000000,0.7736644745,0.7824732661,0.0000000000,0.0000000000,0.0955377817,0.1032905132,0.1493559182,0.1330707669,0.0395349823,0.0282822791,0.0708091706,0.0574034490,0.0389715284,0.0381702520,0.6019166708,0.5966627002,0.1814186126,0.1775585115,0.1630847603,0.1623307019,0.1061507687,0.0000000000,0.0000000000,0.0099377576,0.2603043318,0.2820897400,0.2580724657,0.2597131729,0.0003956769,0.0000000000,0.0000000000,0.0000000000,-0.0231051371,0.1889138371,-0.0044171354,0.0543852411,0.1889233142,0.0103931511
20:19:44:27.033,61,0.0969897360,0.3038121760,0.0913871080,0.0000000000,0.0000000000,0.0787926391,0.0000000000,0.0967703462,0.3041811287,0.0377121270,0.0000000000,0.0000000000,0.0788156465,0.0000000000,0.0988187641,0.0000000000,0.0081413547,0.1583006382,0.0688691437,0.0510238856,0.0520280674,0.0182017814,0.0000000000,0.7700846791,0.7783322930,0.0000000000,0.0000000000,0.0954405144,0.1032358035,0.1494207084,0.1330548674,0.0394746661,0.0282633230,0.0707739890,0.0574664176,0.0389956646,0.0382004306,0.6025202274,0.5973311663,0.1816856563,0.1778793186,0.1628308892,0.1620745957,0.1061724201,0.0000000000,0.0000000000,0.0099544227,0.2604774535,0.2822629809,0.2546430230,0.2578992546,0.0003024756,0.0000000000,0.0000000000,0.0000000000,-0.0226404071,0.1858619004,-0.0042567337,0.0548656099,0.1858712733,0.0103114843
