Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:20:07:47.486,61,0.0000000000,0.2063818574,0.1108372286,0.0000000000,0.0000000000,0.0816308260,0.3031796217,0.0000000000,0.2068300843,0.0196651164,0.0000000000,0.0000000000,0.0816724077,0.3046126962,0.0372249261,0.0018718238,0.0000000000,0.1032032594,0.1292623281,0.1030199006,0.1960889995,0.0426251926,0.0000000000,0.0640038773,0.0312678404,0.0000000000,0.0000000000,0.0453187041,0.0441205464,0.2195727974,0.2084433436,0.1092381775,0.0387884341,0.1424752921,0.0723806322,0.0463830605,0.0466227643,0.1551293731,0.1384309828,0.0226444695,0.0216298625,0.1108618230,0.1099131703,0.1132613868,0.0000000000,0.0000000000,0.0310791545,0.0874304622,0.1015580222,0.1277180463,0.1309833676,0.0000001151,0.0000000000,0.0000000000,0.0000000000,-0.0119169792,0.1263543516,-0.0015137900,0.0671684369,0.1263579726,0.0085261073
20:20:07:48.487,61,0.0000000000,0.2082278132,0.1083716974,0.0000000000,0.0000000000,0.0826316476,0.3319553733,0.0000000000,0.2086550593,0.0221920852,0.0000000000,0.0000000000,0.0826761499,0.3333575726,0.0385696404,0.0020225819,0.0000000000,0.1063825339,0.1323874146,0.1059018224,0.2000836432,0.0454018712,0.0000000000,0.0589973815,0.0238208938,0.0000000000,0.0000000000,0.0457294770,0.0444577672,0.2231123000,0.2127251029,0.1118552461,0.0394197106,0.1446730793,0.0728893727,0.0469419025,0.0473130867,0.1567567736,0.1399238855,0.0228232741,0.0217420068,0.1114211306,0.1104548648,0.1140809059,0.0000000000,0.0000000000,0.0315960124,0.0884304717,0.1027492732,0.1293295324,0.1324577630,0.0000001279,0.0000000000,0.0000000000,0.0000000000,-0.0134463981,0.1274717301,-0.0017233264,0.0656649098,0.1274753511,0.0084100505
20:20:07:49.488,61,0.0000000000,0.2059186995,0.1093151420,0.0000000000,0.0000000000,0.0833574310,0.3516969681,0.0000000000,0.2063506544,0.0212598275,0.0000000000,0.0000000000,0.0834031254,0.3531183302,0.0402786918,0.0020741280,0.0000000000,0.1085260883,0.1343006641,0.1083503813,0.2021132559,0.0464731976,0.0000000000,0.0550735109,0.0202593766,0.0000000000,0.0000000000,0.0461755469,0.0448177345,0.2246940881,0.2143401206,0.1149464995,0.0405562073,0.1459772587,0.0732806250,0.0476295091,0.0486138202,0.1577615142,0.1408423632,0.0229575541,0.0218440574,0.0987362415,0.0976975262,0.1145964339,0.0000000000,0.0000000000,0.0336499512,0.0898889676,0.1043278500,0.1303213984,0.1334807873,0.0000001250,0.0000000000,0.0000000000,0.0000000000,-0.0128838476,0.1260629594,-0.0016327880,0.0662484542,0.1260665804,0.0083899060
20:20:07:50.489,61,0.0000000000,0.2044436634,0.1090308502,0.0000000000,0.0000000000,0.0839539990,0.3860561252,0.0000000000,0.2048697472,0.0215670951,0.0000000000,0.0000000000,0.0840000659,0.3874931633,0.0411913432,0.0021063648,0.0000000000,0.1094001010,0.1349839270,0.1095461324,0.2031798363,0.0466279797,0.0000000000,0.0525690019,0.0185780451,0.0000000000,0.0000000000,0.0465109274,0.0450704060,0.2249882221,0.2147736400,0.1164311245,0.0413698293,0.1468469650,0.0736460835,0.0488510653,0.0505554490,0.1580113620,0.1410350204,0.0230185110,0.0218863748,0.0952583849,0.0942038074,0.1147727594,0.0000000000,0.0000000000,0.0376361497,0.0905618966,0.1050358862,0.1306252480,0.1339125782,0.0000001282,0.0000000000,0.0000000000,0.0000000000,-0.0130715491,0.1251585633,-0.0016445643,0.0660836920,0.1251621693,0.0083083995
20:20:07:51.490,61,0.0000000000,0.2030895650,0.1095154509,0.0000000000,0.0000000000,0.0845594704,0.3992856443,0.0000000000,0.2035175711,0.0211311933,0.0000000000,0.0000000000,0.0846056119,0.4007084072,0.0418749116,0.0021108307,0.0000000000,0.1098070890,0.1352914572,0.1103884876,0.2022718489,0.0431031100,0.0000000000,0.0507239029,0.0193299670,0.0000000000,0.0000000000,0.0467715748,0.0452853814,0.2248441726,0.2148723006,0.1171523631,0.0419907495,0.1471929401,0.0738692284,0.0495160744,0.0514739491,0.1580775082,0.1411626637,0.0230911113,0.0219803210,0.0930884406,0.0920324177,0.1150607914,0.0000000000,0.0000000000,0.0390478112,0.0911196992,0.1056347713,0.1306783408,0.1341761798,0.0000003018,0.0000000000,0.0000000000,0.0000000000,-0.0128086805,0.1243320704,-0.0016007416,0.0663842708,0.1243356466,0.0082904464
20:20:07:52.491,61,0.0000000000,0.2012421340,0.1106543019,0.0000000000,0.0000000000,0.0854256824,0.4058918357,0.0000000000,0.2016773075,0.0200720914,0.0000000000,0.0000000000,0.0854714960,0.4073169231,0.0425883234,0.0021181824,0.0000000000,0.1103513837,0.1358142793,0.1112259626,0.1935440004,0.0418136045,0.0000000000,0.0497109108,0.0207662489,0.0000000000,0.0000000000,0.0471642576,0.0456380881,0.2252328694,0.2155498564,0.1176508144,0.0427302681,0.1469581425,0.0737468600,0.0499325171,0.0520212315,0.1585282832,0.1416082680,0.0231126808,0.0220238063,0.0875552818,0.0865235254,0.1154258400,0.0000000000,0.0000000000,0.0396581292,0.0915592313,0.1060656458,0.1303632855,0.1340471059,0.0000003028,0.0000000000,0.0000000000,0.0000000000,-0.0121684084,0.1232068315,-0.0015068251,0.0670839921,0.1232103780,0.0083011063
20:20:07:53.492,61,0.0000000000,0.1955333352,0.1117950380,0.0000000000,0.0000000000,0.0872135758,0.4080263674,0.0000000000,0.1959673613,0.0188301746,0.0000000000,0.0000000000,0.0872608572,0.4094897211,0.0432901420,0.0022160199,0.0000000000,0.1109739169,0.1364476234,0.1120083109,0.1899494976,0.0405820683,0.0000000000,0.0474685729,0.0215604119,0.0000000000,0.0000000000,0.0475293957,0.0459888987,0.2259200960,0.2169944346,0.1180424541,0.0434907004,0.1465509385,0.0735228807,0.0502116531,0.0523723550,0.1588744372,0.1419968754,0.0230895672,0.0220422484,0.0772291273,0.0761759579,0.1160946265,0.0000000000,0.0000000000,0.0398859344,0.0920396149,0.1065574214,0.1299042851,0.1337869018,0.0000003058,0.0000000000,0.0000000000,0.0000000000,-0.0114203757,0.1197175011,-0.0013737575,0.0678043813,0.1197209433,0.0081501817
20:20:07:54.493,61,0.0000000000,0.1935484558,0.1120357439,0.0000000000,0.0000000000,0.0884167701,0.4085568190,0.0000000000,0.1939805150,0.0185077880,0.0000000000,0.0000000000,0.0884641707,0.4100273848,0.0439253077,0.0022655420,0.0000000000,0.1114559919,0.1369738430,0.1126067266,0.1836356670,0.0394293927,0.0000000000,0.0467770137,0.0260752216,0.0000000000,0.0000000000,0.0479693040,0.0464247838,0.2265144289,0.2179069221,0.1183704957,0.0442460142,0.1455990672,0.0731731355,0.0503963344,0.0525904074,0.1594166160,0.1425835937,0.0230704136,0.0220679212,0.0736517906,0.0725954846,0.1166844219,0.0000000000,0.0000000000,0.0398304984,0.0924505889,0.1069942564,0.1294009238,0.1334760040,0.0000002848,0.0000000000,0.0000000000,0.0000000000,-0.0112264808,0.1185034811,-0.0013366108,0.0679602101,0.1185068861,0.0080852648
20:20:07:55.494,61,0.0000000000,0.1918036491,0.1119740531,0.0000000000,0.0000000000,0.0892335624,0.3924238384,0.0000000000,0.1922313720,0.0185375717,0.0000000000,0.0000000000,0.0892811790,0.3938946724,0.0443223901,0.0024089483,0.0000000000,0.1114922315,0.1369946301,0.1128041297,0.1811110377,0.0385150760,0.0000000000,0.0461603627,0.0277233776,0.0000000000,0.0000000000,0.0483222082,0.0467804559,0.2269840688,0.2185698152,0.1185474768,0.0447138175,0.1452292651,0.0730983466,0.0505870134,0.0527978130,0.1594216377,0.1426964104,0.0230581723,0.0220982339,0.0751173720,0.0740779638,0.1170626581,0.0000000000,0.0000000000,0.0397204496,0.0926631019,0.1072418839,0.1289628744,0.1332121938,0.0000000889,0.0000000000,0.0000000000,0.0000000000,-0.0112459706,0.1174349189,-0.0013267456,0.0679313689,0.1174383089,0.0080082901
20:20:07:56.495,61,0.0000000000,0.1929321587,0.1124844104,0.0000000000,0.0000000000,0.0896474347,0.3801184297,0.0000000000,0.1933670491,0.0180698577,0.0000000000,0.0000000000,0.0896945670,0.3816381693,0.0446317866,0.0023717631,0.0000000000,0.1112868860,0.1367613822,0.1127636954,0.1799746007,0.0373764113,0.0000000000,0.0458958037,0.0288731642,0.0000000000,0.0000000000,0.0485786758,0.0470302179,0.2268104106,0.2186164856,0.1185937002,0.0450076982,0.1451683491,0.0732192174,0.0508389324,0.0530446060,0.1591781676,0.1426346600,0.0230785664,0.0221607182,0.0775622874,0.0765460283,0.1172218919,0.0000000000,0.0000000000,0.0397668555,0.0927866623,0.1073515639,0.1286729127,0.1330881715,0.0000000347,0.0000000000,0.0000000000,0.0000000000,-0.0109613277,0.1181283519,-0.0013008735,0.0682354122,0.1181317419,0.0080920169
