Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:20:18:51.174,61,0.0287716575,0.2444700450,0.0934331343,0.0000000000,0.0000000000,0.0803725272,0.0000000000,0.0282170642,0.2448011488,0.0373243466,0.0000000000,0.0000000000,0.0805192366,0.0000000000,0.0402672477,0.0105460193,0.0000000000,0.1264551282,0.1504583359,0.1167332381,0.3630686998,0.0545343459,0.0000000000,0.0656258687,0.0560394600,0.0000000000,0.0000000000,0.0407892466,0.0410723276,0.1641189903,0.1495631486,0.0946342200,0.0386723988,0.1679920703,0.0898649693,0.0507437773,0.0500304028,0.1605526209,0.1527172625,0.0319286250,0.0290640686,0.0421289541,0.0408874527,0.1560004056,0.0000000000,0.0000000000,0.0523698367,0.1027433425,0.1160388216,0.1530276537,0.1546395570,0.0000063585,0.0000000000,0.0000000000,0.0000000000,-0.0225456432,0.1495788395,-0.0033974287,0.0564391203,0.1495782137,0.0085008722
20:20:18:52.175,61,0.0282276440,0.2440190017,0.0936762169,0.0000000000,0.0000000000,0.0804983005,0.0000000000,0.0276971143,0.2443524152,0.0370848402,0.0000000000,0.0000000000,0.0806478485,0.0000000000,0.0401520394,0.0109264534,0.0000000000,0.1265567988,0.1507001221,0.1169934794,0.3609367907,0.0548383072,0.0000000000,0.0631931350,0.0556858145,0.0000000000,0.0000000000,0.0405688845,0.0408356525,0.1646946371,0.1497904062,0.0944504887,0.0385446288,0.1681840420,0.0900139958,0.0506017096,0.0499147810,0.1608926058,0.1529579461,0.0319642685,0.0290707480,0.0410702638,0.0398470946,0.1563186049,0.0000000000,0.0000000000,0.0519178584,0.1026032418,0.1159752086,0.1531407833,0.1547196358,0.0000051544,0.0000000000,0.0000000000,0.0000000000,-0.0224019028,0.1493041515,-0.0033694792,0.0565882996,0.1493034959,0.0085074287
20:20:18:53.176,61,0.0247826986,0.2430959940,0.0937078595,0.0000000000,0.0000000000,0.0805406943,0.0000000000,0.0244561676,0.2434285283,0.0370789059,0.0000000000,0.0000000000,0.0806914046,0.0000000000,0.0402796119,0.0112759182,0.0000000000,0.1270605624,0.1512326896,0.1174819544,0.3116296828,0.0550044328,0.0000000000,0.0625775754,0.0555509105,0.0000000000,0.0000000000,0.0405088700,0.0407769382,0.1684166193,0.1518775374,0.0944529250,0.0385830514,0.1679741144,0.0899040997,0.0503779575,0.0497155562,0.1627164632,0.1542609632,0.0320221968,0.0291047841,0.0386378057,0.0374865346,0.1569115818,0.0000000000,0.0000000000,0.0513085909,0.1025063545,0.1158649772,0.1531297714,0.1546678394,0.0000048114,0.0000000000,0.0000000000,0.0000000000,-0.0224002097,0.1487396210,-0.0033562949,0.0566122010,0.1487389803,0.0084783575
20:20:18:54.177,61,0.0218199678,0.2429282516,0.0942529961,0.0000000000,0.0000000000,0.0805883929,0.0000000000,0.0216172822,0.2432667613,0.0365719385,0.0000000000,0.0000000000,0.0807400197,0.0000000000,0.0403545424,0.0115382662,0.0000000000,0.1271614879,0.1514121294,0.1179582849,0.2987898588,0.0550141968,0.0000000000,0.0635803193,0.0560219251,0.0000000000,0.0000000000,0.0405032896,0.0407802947,0.1703253984,0.1535128802,0.0943515003,0.0385602862,0.1677634567,0.0898282900,0.0501940362,0.0495417006,0.1644391865,0.1556987166,0.0321012214,0.0291593280,0.0362603739,0.0351893716,0.1574795544,0.0000000000,0.0000000000,0.0506816022,0.1024560854,0.1157728285,0.1530492604,0.1545601189,0.0000051582,0.0000000000,0.0000000000,0.0000000000,-0.0220942721,0.1486397684,-0.0033082080,0.0569423996,0.1486391276,0.0085219434
20:20:18:55.178,61,0.0203176532,0.2422151715,0.0945243165,0.0000000000,0.0000000000,0.0806652084,0.0000000000,0.0201613382,0.2425558269,0.0363315679,0.0000000000,0.0000000000,0.0808170140,0.0000000000,0.0404180177,0.0117296781,0.0000000000,0.1273447424,0.1516854763,0.1184472293,0.2923422456,0.0548048168,0.0000000000,0.0640351772,0.0564834364,0.0000000000,0.0000000000,0.0405449532,0.0408414155,0.1716673374,0.1550184190,0.0943122283,0.0385894477,0.1674658656,0.0896850377,0.0499491282,0.0493080989,0.1654892713,0.1566652358,0.0321563557,0.0292111617,0.0352755189,0.0342163704,0.1580097526,0.0000000000,0.0000000000,0.0492420420,0.1023922712,0.1156827584,0.1529127210,0.1544384211,0.0000042530,0.0000000000,0.0000000000,0.0000000000,-0.0219504777,0.1482049078,-0.0032769230,0.0571100302,0.1482042223,0.0085216258
20:20:18:56.179,61,0.0193230957,0.2421506494,0.0940856785,0.0000000000,0.0000000000,0.0807692185,0.0000000000,0.0191867333,0.2424860895,0.0367756635,0.0000000000,0.0000000000,0.0809207335,0.0000000000,0.0405075513,0.0118021434,0.0000000000,0.1274100095,0.1518233418,0.1188695952,0.2927194834,0.0545919091,0.0000000000,0.0639774129,0.0563797504,0.0000000000,0.0000000000,0.0405184515,0.0408204012,0.1725339144,0.1559301913,0.0941481292,0.0385744497,0.1671355814,0.0895771012,0.0496939868,0.0490631983,0.1662110984,0.1573709697,0.0322165415,0.0292668808,0.0349300466,0.0338786319,0.1582030505,0.0000000000,0.0000000000,0.0483473837,0.1022163928,0.1154598147,0.1526870877,0.1542059481,0.0000034398,0.0000000000,0.0000000000,0.0000000000,-0.0222189296,0.1481632143,-0.0033160450,0.0568453521,0.1481625289,0.0084797535
20:20:18:57.180,61,0.0181243289,0.2415372282,0.0927118286,0.0000000000,0.0000000000,0.0808863491,0.0000000000,0.0180131830,0.2418558598,0.0381476693,0.0000000000,0.0000000000,0.0810371339,0.0000000000,0.0406221375,0.0118054412,0.0000000000,0.1272766739,0.1517595649,0.1193410903,0.2918020785,0.0544428565,0.0000000000,0.0637803674,0.0559568405,0.0000000000,0.0000000000,0.0405340940,0.0408390574,0.1748023182,0.1588320136,0.0939325243,0.0385309868,0.1668398976,0.0895099491,0.0494111925,0.0487774722,0.1667355001,0.1579067856,0.0322644562,0.0292984210,0.0356816500,0.0346373431,0.1580706090,0.0000000000,0.0000000000,0.0471103825,0.1017990708,0.1149493903,0.1521227658,0.1533720046,0.0000035286,0.0000000000,0.0000000000,0.0000000000,-0.0230491813,0.1477808654,-0.0034309255,0.0560184382,0.1477802247,0.0083346590
20:20:18:58.181,61,0.0139768645,0.2406426668,0.0912979022,0.0000000000,0.0000000000,0.0809165239,0.0000000000,0.0139338821,0.2409437597,0.0395533964,0.0000000000,0.0000000000,0.0810655132,0.0000000000,0.0407426618,0.0116362786,0.0000000000,0.1269986778,0.1514872313,0.1198455915,0.2914479077,0.0544141755,0.0000000000,0.0638409108,0.0554089695,0.0000000000,0.0000000000,0.0405754261,0.0408704616,0.1759199351,0.1604919285,0.0936998576,0.0384771153,0.1666641533,0.0895049125,0.0492474474,0.0485970378,0.1669823229,0.1581927240,0.0322671942,0.0292596966,0.0376883186,0.0366288684,0.1575858146,0.0000000000,0.0000000000,0.0464349389,0.1013025194,0.1142634451,0.1508670002,0.1513794959,0.0000039568,0.0000000000,0.0000000000,0.0000000000,-0.0239005089,0.1472265273,-0.0035440831,0.0551686101,0.1472258419,0.0081771128
20:20:18:59.182,61,0.0121833216,0.2389738113,0.0897096172,0.0000000000,0.0000000000,0.0811407194,0.0000000000,0.0121648852,0.2392547727,0.0411100686,0.0000000000,0.0000000000,0.0812885389,0.0000000000,0.0409951657,0.0115384376,0.0000000000,0.1269674152,0.1515930891,0.1205593050,0.2779479623,0.0541820489,0.0000000000,0.0636705682,0.0549792163,0.0000000000,0.0000000000,0.0407502539,0.0410573147,0.1859720647,0.1708274037,0.0936579406,0.0385679044,0.1660927534,0.0892011672,0.0489179529,0.0482593812,0.1682007909,0.1595347226,0.0322669856,0.0292477030,0.0384181291,0.0373575166,0.1573453099,0.0000000000,0.0000000000,0.0444933437,0.1007442474,0.1135775298,0.1500379890,0.1503617167,0.0000071673,0.0000000000,0.0000000000,0.0000000000,-0.0248449240,0.1461978704,-0.0036579841,0.0542170405,0.1461971849,0.0079792570
20:20:19:00.184,61,0.0115918033,0.2398194373,0.0902037919,0.0000000000,0.0000000000,0.0813581124,0.0000000000,0.0115703186,0.2401069552,0.0406407863,0.0000000000,0.0000000000,0.0815057382,0.0000000000,0.0411900170,0.0114682093,0.0000000000,0.1272288859,0.1522400081,0.1212750301,0.2744556069,0.0544583313,0.0000000000,0.0645772740,0.0549724624,0.0000000000,0.0000000000,0.0409107618,0.0412291586,0.1891596913,0.1740840524,0.0935146138,0.0386582874,0.1649546921,0.0887548476,0.0484787114,0.0477994084,0.1743911058,0.1648256034,0.0323407277,0.0292631034,0.0382213108,0.0371376872,0.1575595587,0.0000000000,0.0000000000,0.0418851115,0.1003144160,0.1130202189,0.1498554349,0.1499833763,0.0000141137,0.0000000000,0.0000000000,0.0000000000,-0.0245594308,0.1467175484,-0.0036289983,0.0545115434,0.1467168778,0.0080514848
